category,unicode,name,browser
Lu,U+0145,LATIN CAPITAL LETTER N WITH CEDILLA,Ņ
Lu,U+0147,LATIN CAPITAL LETTER N WITH CARON,Ň
Lu,U+014A,LATIN CAPITAL LETTER ENG,Ŋ
Lu,U+014C,LATIN CAPITAL LETTER O WITH MACRON,Ō
Lu,U+014E,LATIN CAPITAL LETTER O WITH BREVE,Ŏ
Lu,U+0150,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,Ő
Lu,U+0152,LATIN CAPITAL LIGATURE OE,Œ
Lu,U+0154,LATIN CAPITAL LETTER R WITH ACUTE,Ŕ
Lu,U+0156,LATIN CAPITAL LETTER R WITH CEDILLA,Ŗ
Lu,U+0158,LATIN CAPITAL LETTER R WITH CARON,Ř
Lu,U+015A,LATIN CAPITAL LETTER S WITH ACUTE,Ś
Lu,U+015C,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,Ŝ
Lu,U+015E,LATIN CAPITAL LETTER S WITH CEDILLA,Ş
Lu,U+0160,LATIN CAPITAL LETTER S WITH CARON,Š
Lu,U+0162,LATIN CAPITAL LETTER T WITH CEDILLA,Ţ
Lu,U+0164,LATIN CAPITAL LETTER T WITH CARON,Ť
Lu,U+0166,LATIN CAPITAL LETTER T WITH STROKE,Ŧ
Lu,U+0168,LATIN CAPITAL LETTER U WITH TILDE,Ũ
Lu,U+016A,LATIN CAPITAL LETTER U WITH MACRON,Ū
Lu,U+016C,LATIN CAPITAL LETTER U WITH BREVE,Ŭ
Lu,U+016E,LATIN CAPITAL LETTER U WITH RING ABOVE,Ů
Lu,U+0170,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,Ű
Lu,U+0172,LATIN CAPITAL LETTER U WITH OGONEK,Ų
Lu,U+0174,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,Ŵ
Lu,U+0176,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,Ŷ
Lu,U+0178,LATIN CAPITAL LETTER Y WITH DIAERESIS,Ÿ
