letters,U+1E125,𞄥,no name
letters,U+1E126,𞄦,no name
letters,U+1E127,𞄧,no name
letters,U+1E128,𞄨,no name
letters,U+1E129,𞄩,no name
letters,U+1E12A,𞄪,no name
letters,U+1E12B,𞄫,no name
letters,U+1E12C,𞄬,no name
letters,U+1E14E,𞅎,no name
letters,U+1E2C0,𞋀,no name
letters,U+1E2C1,𞋁,no name
letters,U+1E2C2,𞋂,no name
letters,U+1E2C3,𞋃,no name
letters,U+1E2C4,𞋄,no name
letters,U+1E2C5,𞋅,no name
letters,U+1E2C6,𞋆,no name
letters,U+1E2C7,𞋇,no name
letters,U+1E2C8,𞋈,no name
letters,U+1E2C9,𞋉,no name
letters,U+1E2CA,𞋊,no name
letters,U+1E2CB,𞋋,no name
letters,U+1E2CC,𞋌,no name
letters,U+1E2CD,𞋍,no name
letters,U+1E2CE,𞋎,no name
letters,U+1E2CF,𞋏,no name
letters,U+1E2D0,𞋐,no name
letters,U+1E2D1,𞋑,no name
letters,U+1E2D2,𞋒,no name
letters,U+1E2D3,𞋓,no name
letters,U+1E2D4,𞋔,no name
letters,U+1E2D5,𞋕,no name
letters,U+1E2D6,𞋖,no name
letters,U+1E2D7,𞋗,no name
letters,U+1E2D8,𞋘,no name
letters,U+1E2D9,𞋙,no name
letters,U+1E2DA,𞋚,no name
letters,U+1E2DB,𞋛,no name
letters,U+1E2DC,𞋜,no name
letters,U+1E2DD,𞋝,no name
letters,U+1E2DE,𞋞,no name
letters,U+1E2DF,𞋟,no name
letters,U+1E2E0,𞋠,no name
letters,U+1E2E1,𞋡,no name
letters,U+1E2E2,𞋢,no name
letters,U+1E2E3,𞋣,no name
letters,U+1E2E4,𞋤,no name
letters,U+1E2E5,𞋥,no name
letters,U+1E2E6,𞋦,no name
letters,U+1E2E7,𞋧,no name
letters,U+1E2E8,𞋨,no name
letters,U+1E2E9,𞋩,no name
letters,U+1E2EA,𞋪,no name
letters,U+1E2EB,𞋫,no name
numbers,U+1E140,𞅀,no name
numbers,U+1E141,𞅁,no name
numbers,U+1E142,𞅂,no name
numbers,U+1E143,𞅃,no name
numbers,U+1E144,𞅄,no name
numbers,U+1E145,𞅅,no name
numbers,U+1E146,𞅆,no name
numbers,U+1E147,𞅇,no name
numbers,U+1E148,𞅈,no name
numbers,U+1E149,𞅉,no name
numbers,U+1E2F0,𞋰,no name
numbers,U+1E2F1,𞋱,no name
numbers,U+1E2F2,𞋲,no name
numbers,U+1E2F3,𞋳,no name
numbers,U+1E2F4,𞋴,no name
numbers,U+1E2F5,𞋵,no name
numbers,U+1E2F6,𞋶,no name
numbers,U+1E2F7,𞋷,no name
numbers,U+1E2F8,𞋸,no name
numbers,U+1E2F9,𞋹,no name
numbers,U+11FC0,𑿀,no name
numbers,U+11FC1,𑿁,no name
numbers,U+11FC2,𑿂,no name
numbers,U+11FC3,𑿃,no name
numbers,U+11FC4,𑿄,no name
numbers,U+11FC5,𑿅,no name
numbers,U+11FC6,𑿆,no name
numbers,U+11FC7,𑿇,no name
numbers,U+11FC8,𑿈,no name
numbers,U+11FC9,𑿉,no name
numbers,U+11FCA,𑿊,no name
numbers,U+11FCB,𑿋,no name
numbers,U+11FCC,𑿌,no name
numbers,U+11FCD,𑿍,no name
numbers,U+11FCE,𑿎,no name
numbers,U+11FCF,𑿏,no name
numbers,U+11FD0,𑿐,no name
numbers,U+11FD1,𑿑,no name
numbers,U+11FD2,𑿒,no name
numbers,U+11FD3,𑿓,no name
numbers,U+11FD4,𑿔,no name
numbers,U+1ED01,𞴁,no name
numbers,U+1ED02,𞴂,no name
numbers,U+1ED03,𞴃,no name
numbers,U+1ED04,𞴄,no name
numbers,U+1ED05,𞴅,no name
numbers,U+1ED06,𞴆,no name
numbers,U+1ED07,𞴇,no name
numbers,U+1ED08,𞴈,no name
numbers,U+1ED09,𞴉,no name
numbers,U+1ED0A,𞴊,no name
numbers,U+1ED0B,𞴋,no name
numbers,U+1ED0C,𞴌,no name
numbers,U+1ED0D,𞴍,no name
numbers,U+1ED0E,𞴎,no name
numbers,U+1ED0F,𞴏,no name
numbers,U+1ED10,𞴐,no name
